Name,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Genus,Species,Population size,Life span,Top speed,Weight,Height,Length,Attributes,Distribution,Habits,Diet,Mating_Habits,Population
Ecnomiohyla fimbrimembra,Animalia,Chordata,,Amphibia,Anura,,Hylidae,Ecnomiohyla,Ecnomiohyla fimbrimembra,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Forest'], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Vulnerable (VU)'}"
Rhinella rubropunctata,Animalia,Chordata,,Amphibia,Anura,,Bufonidae,Rhinella,Rhinella rubropunctata,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
Boettger's horned toad,Animalia,Chordata,,Amphibia,Anura,,Megophryidae,Megophrys,Megophrys boettgeri,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}","{'Lifestyle': 'Terrestrial,'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Least concern (LC)'}"
Pleurodema bibroni,Animalia,Chordata,,Amphibia,Anura,,Leptodactylidae,Pleurodema,Pleurodema bibroni,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Grassland', 'Rocky areas ', 'Savanna', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Near Threatened (NT)'}"
Atelopus planispina,Animalia,Chordata,,Amphibia,Anura,,Bufonidae,Atelopus,Atelopus planispina,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Critically endangered (CR)'}"
Dendropsophus koechlini,Animalia,Chordata,,Amphibia,Anura,,Hylidae,Dendropsophus,Dendropsophus koechlini,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Western giant toad,Animalia,Chordata,,Amphibia,Anura,,Bufonidae,Peltophryne,Peltophryne fustiger,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Anthropogenic biome', 'Forest', 'Grassland', 'Savanna', 'Shrubland', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Craugastor obesus,Animalia,Chordata,,Amphibia,Anura,,Craugastoridae,Craugastor,Craugastor obesus,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Critically endangered (CR)'}"
Ethiopian banana frog,Animalia,Chordata,,Amphibia,Anura,,Hyperoliidae,Afrixalus,Afrixalus enseticola,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Anthropogenic biome', 'Forest', 'Grassland', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Stable', 'Population status': 'Vulnerable (VU)'}"
Incilius porteri,Animalia,Chordata,,Amphibia,Anura,,Bufonidae,Incilius,Incilius porteri,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': 'North America', 'Countries': 'El Salvador, Honduras', 'Biogeographical realms': 'Neotropical'}, 'Biome': ['Freshwater', 'Forest', 'Wetlands ', 'Anthropogenic biome'], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
Craugastor xucanebi,Animalia,Chordata,,Amphibia,Anura,,Craugastoridae,Craugastor,Craugastor xucanebi,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Forest'], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Vulnerable (VU)'}"
Parapelophryne,Animalia,Chordata,,Amphibia,Anura,,Bufonidae,Parapelophryne,Parapelophryne scalpta,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
Painted tree frog,Animalia,Chordata,,Amphibia,Anura,,Hylidae,Tlalocohyla,Tlalocohyla picta,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Anthropogenic biome', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Increasing', 'Population status': 'Least concern (LC)'}"
Tepuihyla tuberculosa,Animalia,Chordata,,Amphibia,Anura,,Hylidae,Tepuihyla,Tepuihyla tuberculosa,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Forest'], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Not a migrant'}",,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Ranoidea vagitus,Animalia,Chordata,,Amphibia,Anura,,Pelodryadidae,Litoria,Ranoidea vagitus,,,,,,,"Terrestrial,starts with","{'Geography': {'Countries': ''}, 'Biome': ['Freshwater', 'Grassland', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Mjoberg's toadlet,Animalia,Chordata,,Amphibia,Anura,,Myobatrachidae,Uperoleia,Uperoleia mjobergii,,,,,,,"Terrestrial,starts with","{'Geography': {'Countries': 'Australia', 'Biogeographical realms': 'Australasian'}, 'Biome': ['Freshwater', 'Grassland', 'Shrubland'], 'Climate': []}",{},,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Bocourt's tree frog,Animalia,Chordata,,Amphibia,Anura,,Hylidae,Dryophytes,Dryophytes bocourti,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {}, 'Biome': ['Forest', 'Grassland'], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Critically endangered (CR)'}"
Cayenne slender-legged tree frog,Animalia,Chordata,,Amphibia,Anura,,Hylidae,Osteocephalus,Osteocephalus leprieurii,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}","{'Lifestyle': 'Terrestrial,'}",,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Cornufer pelewensis,Animalia,Chordata,,Amphibia,Anura,,Ceratobatrachidae,Cornufer,Cornufer pelewensis,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Countries': ''}, 'Biome': ['Anthropogenic biome', 'Caves', 'Forest', 'Rocky areas ', 'Savanna', 'Shrubland'], 'Climate': []}",{},,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Hyperolius spinigularis,Animalia,Chordata,,Amphibia,Anura,,Hyperoliidae,Hyperolius,Hyperolius spinigularis,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
Ichthyophis billitonensis,Animalia,Chordata,,Amphibia,Gymnophiona,,Ichthyophiidae,Ichthyophis,Ichthyophis billitonensis,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': 'Asia', 'Countries': 'Indonesia', 'Regions': 'Sumatera', 'Biogeographical realms': 'Indomalayan'}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Data deficient (DD)'}"
Kassina cassinoides,Animalia,Chordata,,Amphibia,Anura,,Hyperoliidae,Kassina,Kassina cassinoides,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Forest', 'Savanna', 'Shrubland', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
Nectophrynoides cryptus,Animalia,Chordata,,Amphibia,Anura,,Bufonidae,Nectophrynoides,Nectophrynoides cryptus,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Anthropogenic biome', 'Forest'], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Endangered (EN)'}"
Polypedates ranwellai,Animalia,Chordata,,Amphibia,Anura,,Rhacophoridae,Polypedates,Polypedates ranwellai,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': 'Asia', 'Countries': 'Sri Lanka', 'Biogeographical realms': 'Indomalayan'}, 'Biome': ['Forest'], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Endangered (EN)'}"
Ranoidea longipes,Animalia,Chordata,,Amphibia,Anura,,Pelodryadidae,Litoria,Ranoidea longipes,,,,,,,"Terrestrial,starts with","{'Geography': {'Countries': 'Australia', 'Biogeographical realms': 'Australasian'}, 'Biome': ['Freshwater', 'Grassland', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Cochranella duidaeana,Animalia,Chordata,,Amphibia,Anura,,Centrolenidae,Cochranella,"""Cochranella"" duidaeana",,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Shrubland', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Vulnerable (VU)'}"
Cryptobatrachus fuhrmanni,Animalia,Chordata,,Amphibia,Anura,,Hemiphractidae,Cryptobatrachus,Cryptobatrachus fuhrmanni,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
Ichthyophis monochrous,Animalia,Chordata,,Amphibia,Gymnophiona,,Ichthyophiidae,Ichthyophis,Ichthyophis monochrous,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': 'Asia', 'Countries': 'Indonesia, Malaysia', 'Regions': 'Kalimantan', 'Islands': 'Borneo', 'Biogeographical realms': 'Indomalayan'}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Data deficient (DD)'}"
Praslinia,Animalia,Chordata,,Amphibia,Gymnophiona,,Indotyphlidae,Praslinia,Praslinia cooperi,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Endangered (EN)'}"
Heterixalus punctatus,Animalia,Chordata,,Amphibia,Anura,,Hyperoliidae,Heterixalus,Heterixalus punctatus,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Anthropogenic biome', 'Forest', 'Wetlands '], 'Climate': []}","{'Lifestyle': 'Terrestrial,'}",,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Caecilia guntheri,Animalia,Chordata,,Amphibia,Gymnophiona,,Caeciliidae,Caecilia,Caecilia guntheri,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Forest'], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
Atelopus nanay,Animalia,Chordata,,Amphibia,Anura,,Bufonidae,Atelopus,Atelopus nanay,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Grassland', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Critically endangered (CR)'}"
Centrolene geckoidea,Animalia,Chordata,,Amphibia,Anura,,Centrolenidae,Centrolene,Centrolene geckoidea,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Critically endangered (CR)'}"
Dermophis occidentalis,Animalia,Chordata,,Amphibia,Gymnophiona,,Dermophiidae,Dermophis,Dermophis occidentalis,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Anthropogenic biome', 'Forest'], 'Climate': []}",{},,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Hyperolius cinnamomeoventris,Animalia,Chordata,,Amphibia,Anura,,Hyperoliidae,Hyperolius,Hyperolius cinnamomeoventris,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Anthropogenic biome', 'Forest', 'Grassland', 'Savanna', 'Wetlands '], 'Climate': []}","{'Lifestyle': 'Terrestrial,'}",,{},"{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
Chirinda toad,Animalia,Chordata,,Amphibia,Anura,,Bufonidae,Mertensophryne,Mertensophryne anotis,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Forest', 'Grassland'], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
Incilius epioticus,Animalia,Chordata,,Amphibia,Anura,,Bufonidae,Incilius,Incilius epioticus,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Forest'], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
Silverstoneia erasmios,Animalia,Chordata,,Amphibia,Anura,,Dendrobatidae,Silverstoneia,Silverstoneia erasmios,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Endangered (EN)'}"
Hydrolaetare dantasi,Animalia,Chordata,,Amphibia,Anura,,Leptodactylidae,Hydrolaetare,Hydrolaetare dantasi,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Hyloxalus ruizi,Animalia,Chordata,,Amphibia,Anura,,Dendrobatidae,Hyloxalus,Hyloxalus ruizi,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Critically endangered (CR)'}"
Copland's rock frog,Animalia,Chordata,,Amphibia,Anura,,Pelodryadidae,Litoria,Litoria coplandi,,,,,,,"Terrestrial,starts with","{'Geography': {'Countries': 'Australia', 'Biogeographical realms': 'Australasian'}, 'Biome': ['Freshwater', 'Grassland', 'Rocky areas ', 'Shrubland', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Streambank froglet,Animalia,Chordata,,Amphibia,Anura,,Myobatrachidae,Crinia,Crinia riparia,,,,,,,"Terrestrial,starts with","{'Geography': {'Countries': ''}, 'Biome': ['Freshwater', 'Forest', 'Shrubland', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Cycloramphus faustoi,Animalia,Chordata,,Amphibia,Anura,,Cycloramphidae,Cycloramphus,Cycloramphus faustoi,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Forest', 'Rocky areas '], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Critically endangered (CR)'}"
Hell Hollow slender salamander,Animalia,Chordata,,Amphibia,Caudata,,Plethodontidae,Batrachoseps,Batrachoseps diabolicus,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Forest', 'Shrubland'], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Data deficient (DD)'}"
Alsodes verrucosus,Animalia,Chordata,,Amphibia,Anura,,Alsodidae,Alsodes,Alsodes verrucosus,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}","{'Lifestyle': 'Terrestrial,', 'Seasonal behavior': 'Not a migrant'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Endangered (EN)'}"
Microhyla laterite,Animalia,Chordata,,Amphibia,Anura,,Microhylidae,Microhyla,Microhyla laterite,,,,,,,starts with,"{'Geography': {'Countries': ''}, 'Biome': [], 'Climate': []}",{},,{},{'Population status': 'Endangered (EN)'}
Colostethus latinasus,Animalia,Chordata,,Amphibia,Anura,,Dendrobatidae,Colostethus,Colostethus latinasus,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Critically endangered (CR)'}"
Hyloxalus abditaurantius,Animalia,Chordata,,Amphibia,Anura,,Dendrobatidae,Hyloxalus,Hyloxalus abditaurantius,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {}, 'Biome': ['Freshwater', 'Anthropogenic biome', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Critically endangered (CR)'}"
Limnonectes limborgi,Animalia,Chordata,,Amphibia,Anura,,Dicroglossidae,Limnonectes,Limnonectes limborgi,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Forest', 'Grassland', 'Shrubland', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Least concern (LC)'}"
Mannophryne neblina,Animalia,Chordata,,Amphibia,Anura,,Aromobatidae,Mannophryne,Mannophryne neblina,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Anthropogenic biome', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Critically endangered (CR)'}"
Craugastor rhodopis,Animalia,Chordata,,Amphibia,Anura,,Craugastoridae,Craugastor,Craugastor rhodopis,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Anthropogenic biome', 'Forest'], 'Climate': []}",{},,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Ansonia glandulosa,Animalia,Chordata,,Amphibia,Anura,,Bufonidae,Ansonia,Ansonia glandulosa,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Anthropogenic biome', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
Zakerana rufescens,Animalia,Chordata,,Amphibia,Anura,,Dicroglossidae,Fejervarya,Zakerana rufescens,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Anthropogenic biome', 'Forest', 'Wetlands '], 'Climate': []}","{'Lifestyle': 'Terrestrial,'}",,{},"{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
Duttaphrynus noellerti,Animalia,Chordata,,Amphibia,Anura,,Bufonidae,Duttaphrynus,Duttaphrynus noellerti,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': 'Asia', 'Countries': 'Sri Lanka', 'Biogeographical realms': 'Indomalayan'}, 'Biome': ['Anthropogenic biome', 'Forest'], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Critically endangered (CR)'}"
Geocrinia vitellina,Animalia,Chordata,,Amphibia,Anura,,Myobatrachidae,Geocrinia,Geocrinia vitellina,,,,,,,"Terrestrial,starts with","{'Geography': {'Countries': ''}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Stable', 'Population status': 'Vulnerable (VU)'}"
Hyperolius molleri,Animalia,Chordata,,Amphibia,Anura,,Hyperoliidae,Hyperolius,Hyperolius molleri,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Anthropogenic biome', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
Osteocephalus planiceps,Animalia,Chordata,,Amphibia,Anura,,Hylidae,Osteocephalus,Osteocephalus planiceps,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Forest'], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
Rhinella castaneotica,Animalia,Chordata,,Amphibia,Anura,,Bufonidae,Rhinella,Rhinella castaneotica,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Schistometopum gregorii,Animalia,Chordata,,Amphibia,Gymnophiona,,Dermophiidae,Schistometopum,Schistometopum gregorii,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Anthropogenic biome', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
Tyler's toadlet,Animalia,Chordata,,Amphibia,Anura,,Myobatrachidae,Uperoleia,Uperoleia tyleri,,,,,,,"Terrestrial,starts with","{'Geography': {'Countries': ''}, 'Biome': ['Freshwater', 'Grassland', 'Shrubland', 'Wetlands '], 'Climate': []}","{'Lifestyle': 'Terrestrial,'}",,{},"{'Population trend': 'Unknown', 'Population status': 'Data deficient (DD)'}"
Vitreorana uranoscopa,Animalia,Chordata,,Amphibia,Anura,,Centrolenidae,Vitreorana,Vitreorana uranoscopa,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}","{'Lifestyle': 'Terrestrial,'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Least concern (LC)'}"
Chamula mountain brook frog,Animalia,Chordata,,Amphibia,Anura,,Hylidae,Duellmanohyla,Duellmanohyla chamulae,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Endangered (EN)'}"
Liua tsinpaensis,Animalia,Chordata,,Amphibia,Caudata,,Hynobiidae,Liua,Liua tsinpaensis,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
Melanophryniscus atroluteus,Animalia,Chordata,,Amphibia,Anura,,Bufonidae,Melanophryniscus,Melanophryniscus atroluteus,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Anthropogenic biome', 'Grassland', 'Wetlands '], 'Climate': []}","{'Lifestyle': 'Terrestrial,'}",,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Opisthothylax,Animalia,Chordata,,Amphibia,Anura,,Hyperoliidae,Opisthothylax,Opisthothylax immaculatus,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
Scinax hayii,Animalia,Chordata,,Amphibia,Anura,,Hylidae,Scinax,Scinax hayii,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Anthropogenic biome', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Atelopus chrysocorallus,Animalia,Chordata,,Amphibia,Anura,,Bufonidae,Atelopus,Atelopus chrysocorallus,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Critically endangered (CR)'}"
Isthmohyla debilis,Animalia,Chordata,,Amphibia,Anura,,Hylidae,Isthmohyla,Isthmohyla debilis,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Critically endangered (CR)'}"
Marbled toadlet,Animalia,Chordata,,Amphibia,Anura,,Myobatrachidae,Uperoleia,Uperoleia marmorata,,,,,,,"Terrestrial,starts with","{'Geography': {'Countries': 'Australia', 'Biogeographical realms': 'Australasian'}, 'Biome': ['Freshwater', 'Grassland', 'Savanna', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Data deficient (DD)'}"
Mertensophryne micranotis,Animalia,Chordata,,Amphibia,Anura,,Bufonidae,Mertensophryne,Mertensophryne micranotis,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Forest', 'Savanna', 'Shrubland'], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
Jobi tree frog,Animalia,Chordata,,Amphibia,Anura,,Pelodryadidae,Litoria,"""Litoria"" obtusirostris",,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': [], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Data deficient (DD)'}"
Aromobates alboguttatus,Animalia,Chordata,,Amphibia,Anura,,Aromobatidae,Aromobates,Aromobates alboguttatus,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Critically endangered (CR)'}"
Chiala mountain salamander,Animalia,Chordata,,Amphibia,Caudata,,Hynobiidae,Batrachuperus,Batrachuperus karlschmidti,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
Atopophrynus,Animalia,Chordata,,Amphibia,Anura,,Craugastoridae,Atopophrynus,Atopophrynus syntomopus,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': 'South America', 'Countries': 'Colombia', 'Biogeographical realms': 'Neotropical'}, 'Biome': ['Freshwater', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Critically endangered (CR)'}"
Ridged tree frog,Animalia,Chordata,,Amphibia,Anura,,Hylidae,Dryophytes,Dryophytes plicatus,,,,,,,"Terrestrial,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Freshwater', 'Anthropogenic biome', 'Forest', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
